/binary/tsbs/bin/tsbs_generate_queries --queries 100000 --query-type single-groupby-1-1-1 --scale 1000 --seed 123 --timestamp-end 2022-07-28T00:00:00Z --timestamp-start 2022-07-25T00:00:00Z --use-case devops --format iotdb --file /binary/tsbs/bin/queries && /binary/tsbs/bin/tsbs_generate_data --scale 1000 --seed 123 --timestamp-end 2022-07-28T00:00:00Z --timestamp-start 2022-07-25T00:00:00Z --use-case devops --format iotdb --file /binary/tsbs/bin/data && /binary/tsbs/bin/tsbs_load_iotdb --host 172.31.19.163 --user stackit --password PjjeGSGKUBOzG9duX0C3VtQD6BU33qoECMqY2MmF7feQx7v0j7flv3tlyeOer3lu --batch-size 1000 --seed 123 --workers 50 --file /binary/tsbs/bin/data
2023/08/10 12:25:46 tsbs_load_iotdb target: 172.31.19.163:6667, no timeout for session opening check. Loading with 50 workers.
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1691672786,627503.44,1.888590E+09,774012.27,55700.30,1.683050E+08,68977.46
1691672796,755641.36,1.896147E+09,773937.28,66794.82,1.689730E+08,68968.55
1691672806,899553.93,1.905142E+09,774447.89,80404.82,1.697770E+08,69015.03
1691672816,1065334.65,1.915796E+09,775625.64,94794.19,1.707250E+08,69119.41
1691672826,734158.33,1.923137E+09,775458.44,65905.24,1.713840E+08,69106.45
1691672836,513899.52,1.928276E+09,774408.01,45999.96,1.718440E+08,69013.65
1691672846,862730.97,1.936904E+09,774761.33,76893.85,1.726130E+08,69045.18
1691672856,806632.31,1.944970E+09,774888.30,71802.88,1.733310E+08,69056.16
1691672866,645676.90,1.951427E+09,774375.54,57597.94,1.739070E+08,69010.69
1691672876,514528.34,1.956572E+09,773348.53,46802.58,1.743750E+08,68922.92
1691672886,614595.42,1.962718E+09,772723.51,55099.59,1.749260E+08,68868.49
1691672896,982334.51,1.972542E+09,773545.57,85694.29,1.757830E+08,68934.48
1691672906,751597.56,1.980058E+09,773459.83,66999.78,1.764530E+08,68926.92
1691672916,651602.89,1.986574E+09,772985.69,58900.26,1.770420E+08,68887.91
1691672926,901620.09,1.995590E+09,773484.26,79101.76,1.778330E+08,68927.50
1691672936,640633.17,2.001996E+09,772971.35,57102.96,1.784040E+08,68881.85
1691672946,806360.89,2.010060E+09,773099.77,71896.51,1.791230E+08,68893.44
1691672956,784533.40,2.017905E+09,773143.58,70603.01,1.798290E+08,68899.99
1691672966,648801.47,2.024393E+09,772668.99,58200.13,1.804110E+08,68859.15
1691672976,712917.79,2.031522E+09,772441.81,63101.57,1.810420E+08,68837.26
1691672986,779069.92,2.039313E+09,772466.91,69297.32,1.817350E+08,68839.00
1691672996,642326.05,2.045736E+09,771975.84,57402.33,1.823090E+08,68795.85
1691673006,491797.52,2.050654E+09,770922.53,44099.78,1.827500E+08,68703.01
1691673016,758258.09,2.058237E+09,770875.09,67996.24,1.834300E+08,68700.36
1691673026,553188.11,2.063769E+09,770062.81,49298.94,1.839230E+08,68627.96
1691673036,731210.31,2.071081E+09,769918.38,64900.91,1.845720E+08,68614.11
1691673046,802144.56,2.079102E+09,770037.73,70803.93,1.852800E+08,68622.22
1691673056,720301.50,2.086305E+09,769854.20,64000.13,1.859200E+08,68605.16
1691673066,618070.96,2.092486E+09,769296.15,55397.40,1.864740E+08,68556.60
1691673076,579605.78,2.098282E+09,768601.32,52300.52,1.869970E+08,68497.06
1691673086,468995.84,2.102972E+09,767507.86,40999.64,1.874070E+08,68396.70
1691673096,665923.11,2.109631E+09,767138.47,60102.09,1.880080E+08,68366.54
1691673106,1048894.18,2.120120E+09,768159.33,93199.48,1.889400E+08,68456.51
1691673116,546004.18,2.125580E+09,767357.33,49100.38,1.894310E+08,68386.64
1691673126,816202.77,2.133742E+09,767533.04,72400.25,1.901550E+08,68401.07
1691673136,588071.13,2.139623E+09,766889.77,51897.45,1.906740E+08,68341.92
1691673146,766094.77,2.147284E+09,766886.93,67899.54,1.913530E+08,68340.34
1691673156,517033.14,2.152454E+09,765997.83,46702.99,1.918200E+08,68263.34
1691673166,653564.58,2.158990E+09,765599.11,58396.83,1.924040E+08,68228.35
1691673176,770719.89,2.166697E+09,765617.20,68101.76,1.930850E+08,68227.91
1691673186,494575.87,2.171643E+09,764662.79,44197.84,1.935270E+08,68143.29
1691673196,866800.63,2.180311E+09,765021.17,77100.06,1.942980E+08,68174.72
1691673206,627090.46,2.186582E+09,764538.88,55799.15,1.948560E+08,68131.44
1691673216,394330.21,2.190525E+09,763249.06,35902.75,1.952150E+08,68019.16
1691673226,514799.83,2.195673E+09,762386.39,46199.98,1.956770E+08,67943.40
1691673236,750515.96,2.203178E+09,762345.31,65601.39,1.963330E+08,67935.29
1691673246,750090.24,2.210679E+09,762303.05,67399.12,1.970070E+08,67933.44
1691673256,842095.80,2.219100E+09,762577.26,75199.62,1.977590E+08,67958.41
1691673266,559508.18,2.224695E+09,761881.82,50100.73,1.982600E+08,67897.26
1691673276,801497.69,2.232710E+09,762017.03,71199.80,1.989720E+08,67908.53
1691673286,723646.90,2.239947E+09,761886.51,64895.24,1.996210E+08,67898.28
1691673296,616146.11,2.246108E+09,761392.51,54604.09,2.001670E+08,67853.22
1691673306,504176.75,2.251150E+09,760523.50,45497.90,2.006220E+08,67777.69
1691673316,696668.65,2.258117E+09,760308.49,61297.24,2.012350E+08,67755.87
1691673326,792320.46,2.266040E+09,760415.91,70301.82,2.019380E+08,67764.41
1691673336,645742.27,2.272497E+09,760032.41,57503.76,2.025130E+08,67730.10
1691673346,651442.67,2.279012E+09,759670.42,57694.92,2.030900E+08,67696.64
1691673356,645159.51,2.285463E+09,759290.02,57905.34,2.036690E+08,67664.12
1691673366,596761.46,2.291431E+09,758751.81,53996.51,2.042090E+08,67618.86
1691673376,346690.12,2.294898E+09,757391.83,31599.10,2.045250E+08,67499.98
1691673386,590742.45,2.300805E+09,756843.68,51403.69,2.050390E+08,67447.03
1691673396,887189.71,2.309677E+09,757271.05,78799.09,2.058270E+08,67484.25
1691673406,712790.16,2.316805E+09,757125.68,64199.11,2.064690E+08,67473.52
