time,measurement,field,value,application,batchId,configurationId,executionCounter,host,interface,projectId,userId
2026-08-12 11:29:30+00:00,net,bytes_recv,26041320583,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:29:40+00:00,net,bytes_recv,26041468780,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:29:50+00:00,net,bytes_recv,26041606878,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:20:00+00:00,net,bytes_sent,2716743357,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:20:10+00:00,net,bytes_sent,2716939871,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:20:20+00:00,net,bytes_sent,2717081620,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:20:30+00:00,net,bytes_sent,2717243856,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:20:40+00:00,net,bytes_sent,2717728132,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:20:50+00:00,net,bytes_sent,2718636810,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:21:00+00:00,net,bytes_sent,2721212786,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:21:10+00:00,net,bytes_sent,2729613316,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:21:20+00:00,net,bytes_sent,2758835315,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:21:30+00:00,net,bytes_sent,2909052506,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:21:40+00:00,net,bytes_sent,3333615545,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:21:50+00:00,net,bytes_sent,3777826650,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:22:00+00:00,net,bytes_sent,4246607120,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:22:10+00:00,net,bytes_sent,4714897858,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:22:20+00:00,net,bytes_sent,5192482126,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:22:30+00:00,net,bytes_sent,5668576402,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:22:40+00:00,net,bytes_sent,6116511562,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:22:50+00:00,net,bytes_sent,6583634278,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:23:00+00:00,net,bytes_sent,7045396680,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:23:10+00:00,net,bytes_sent,7513684611,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:23:20+00:00,net,bytes_sent,7972626673,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:23:30+00:00,net,bytes_sent,8401776588,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:23:40+00:00,net,bytes_sent,8858892845,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:23:50+00:00,net,bytes_sent,9322926666,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:24:00+00:00,net,bytes_sent,9793642227,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:24:10+00:00,net,bytes_sent,10240337999,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:24:20+00:00,net,bytes_sent,10699998800,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:24:30+00:00,net,bytes_sent,11153876988,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
