/binary/tsbs/bin/tsbs_generate_queries --queries 100000 --query-type single-groupby-1-1-1 --scale 1000 --seed 123 --timestamp-end 2022-07-28T00:00:00Z --timestamp-start 2022-07-25T00:00:00Z --use-case devops --format victoriametrics --file /binary/tsbs/bin/queries && /binary/tsbs/bin/tsbs_generate_data --scale 1000 --seed 123 --timestamp-end 2022-07-28T00:00:00Z --timestamp-start 2022-07-25T00:00:00Z --use-case devops --format victoriametrics --file /binary/tsbs/bin/data && /binary/tsbs/bin/tsbs_load_victoriametrics --urls http://172.31.31.32:8428/write --db-name benchdb --batch-size 1000 --seed 123 --workers 50 --file /binary/tsbs/bin/data
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1660032943,1038988.73,1.969245E+09,1020331.15,92499.00,1.754790E+08,90921.49
1660032953,1042218.81,1.979667E+09,1020443.97,93001.68,1.764090E+08,90932.21
1660032963,1076362.44,1.990430E+09,1020730.71,95705.55,1.773660E+08,90956.69
1660032973,1090744.06,2.001338E+09,1021087.94,97495.00,1.783410E+08,90990.05
1660032983,965684.96,2.010995E+09,1020806.71,85998.66,1.792010E+08,90964.71
1660032993,1095284.15,2.021948E+09,1021182.86,97698.59,1.801780E+08,90998.72
1660033003,1122125.07,2.033169E+09,1021690.09,99902.23,1.811770E+08,91043.46
1660033013,969156.74,2.042860E+09,1021427.44,86305.05,1.820400E+08,91019.77
1660033023,1105888.10,2.053919E+09,1021847.65,98498.94,1.830250E+08,91056.98
1660033033,1093579.43,2.064855E+09,1022202.76,97198.17,1.839970E+08,91087.38
1660033043,1024048.02,2.075096E+09,1022211.85,91395.36,1.849110E+08,91088.90
1660033053,949475.43,2.084590E+09,1021855.33,84906.75,1.857600E+08,91058.60
1660033063,857485.03,2.093165E+09,1021053.51,75998.67,1.865200E+08,90985.14
1660033073,818702.06,2.101352E+09,1020071.23,73100.18,1.872510E+08,90898.32
1660033083,980365.65,2.111156E+09,1019879.41,87396.94,1.881250E+08,90881.40
1660033093,1055241.39,2.121708E+09,1020049.41,94103.69,1.890660E+08,90896.89
1660033103,992171.81,2.131630E+09,1019916.02,88197.49,1.899480E+08,90883.98
1660033113,1105261.63,2.142683E+09,1020322.44,98896.57,1.909370E+08,90922.13
1660033123,974730.67,2.152430E+09,1020106.37,86702.73,1.918040E+08,90902.14
1660033133,1104932.30,2.163479E+09,1020506.48,98402.88,1.927880E+08,90937.51
1660033143,1084810.00,2.174327E+09,1020808.37,97100.89,1.937590E+08,90966.45
1660033153,1027052.49,2.184598E+09,1020837.55,90995.79,1.946690E+08,90966.59
1660033163,1065824.03,2.195256E+09,1021046.79,95002.14,1.956190E+08,90985.36
1660033173,1122749.17,2.206483E+09,1021517.61,100104.38,1.966200E+08,91027.57
1660033183,1090757.56,2.217391E+09,1021836.70,97296.21,1.975930E+08,91056.46
1660033193,1014298.74,2.227534E+09,1021802.12,90499.89,1.984980E+08,91053.91
1660033203,1033781.55,2.237872E+09,1021856.82,92098.36,1.994190E+08,91058.68
1660033213,1109958.40,2.248972E+09,1022257.30,98796.30,2.004070E+08,91093.85
1660033223,1064068.57,2.259612E+09,1022446.48,94606.10,2.013530E+08,91109.74
1660033233,1031127.98,2.269924E+09,1022485.59,92093.57,2.022740E+08,91114.17
1660033243,1057066.35,2.280494E+09,1022640.65,94305.92,2.032170E+08,91128.49
1660033253,1080921.00,2.291303E+09,1022900.82,96201.87,2.041790E+08,91151.13
1660033263,994741.93,2.301251E+09,1022775.66,88594.83,2.050650E+08,91139.77
1660033273,1131432.11,2.312565E+09,1023256.43,101002.87,2.060750E+08,91183.41
1660033283,1105180.88,2.323617E+09,1023617.34,98198.30,2.070570E+08,91214.32
1660033293,1083468.51,2.334451E+09,1023879.82,96706.12,2.080240E+08,91238.40
1660033303,1020218.44,2.344654E+09,1023863.83,90692.75,2.089310E+08,91236.02
1660033313,1002641.98,2.354680E+09,1023771.57,89703.76,2.098280E+08,91229.36
1660033323,1021312.64,2.364893E+09,1023760.93,90801.12,2.107360E+08,91227.50
1660033333,856701.47,2.373460E+09,1023040.84,76500.13,2.115010E+08,91164.02
1660033343,819701.09,2.381657E+09,1022168.14,73000.10,2.122310E+08,91086.07
1660033353,836706.85,2.390024E+09,1021375.58,74300.61,2.129740E+08,91014.33
1660033363,845305.26,2.398477E+09,1020626.35,75600.47,2.137300E+08,90948.74
1660033373,1085613.66,2.409333E+09,1020901.72,96601.22,2.146960E+08,90972.69
1660033383,1045739.31,2.419791E+09,1021006.53,93294.59,2.156290E+08,90982.49
1660033393,1056152.45,2.430352E+09,1021154.19,94104.67,2.165700E+08,90995.61
1660033403,1052278.86,2.440875E+09,1021284.42,93898.11,2.175090E+08,91007.75
1660033413,1102198.91,2.451897E+09,1021621.56,98099.90,2.184900E+08,91037.31
1660033423,1074565.26,2.462643E+09,1021841.25,95596.91,2.194460E+08,91056.23
1660033433,998443.46,2.472627E+09,1021744.57,89103.88,2.203370E+08,91048.16
1660033443,1091611.77,2.483544E+09,1022032.12,97292.14,2.213100E+08,91073.86
1660033453,1037772.28,2.493921E+09,1022096.62,92506.44,2.222350E+08,91079.73
1660033463,1069336.96,2.504615E+09,1022289.45,95294.38,2.231880E+08,91096.93
1660033473,1117181.30,2.515787E+09,1022675.19,99598.33,2.241840E+08,91131.49
1660033483,1039370.38,2.526180E+09,1022742.78,92406.26,2.251080E+08,91136.65
1660033493,1060689.20,2.536787E+09,1022895.79,94499.04,2.260530E+08,91150.21
1660033503,1075028.31,2.547537E+09,1023105.15,96102.53,2.270140E+08,91170.10
1660033513,1119823.80,2.558735E+09,1023492.02,99502.12,2.280090E+08,91203.42
1660033523,920819.63,2.567944E+09,1023082.93,82092.84,2.288300E+08,91167.12
1660033533,1114382.03,2.579088E+09,1023445.23,99398.40,2.298240E+08,91199.79
1660033543,1106231.44,2.590150E+09,1023772.44,98402.80,2.308080E+08,91228.26
1660033553,1029734.10,2.600447E+09,1023795.91,91803.04,2.317260E+08,91230.52
1660033563,1046534.63,2.610913E+09,1023885.09,93394.17,2.326600E+08,91239.01

Summary:
loaded 2617920000 metrics in 2556.509sec with 50 workers (mean rate 1024021.60 metrics/sec)
loaded 233280000 rows in 2556.509sec with 50 workers (mean rate 91249.45 rows/sec)
